DONOR PARTNER,INBOUND DATE,ITEMIZED LIST,UNITS RECEIVED,UNIT OF MEASURE,DATE REDISTRIBUTED,OUTBOUND RECIPIENT,ITEMIZED LIST.1,UNITS DISTRIBUTED,COMMENT,DONOR
,"April 27, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,BOX,"May 15, 2024",Clinic 8,,6,,City Medical Center
,"May 20, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PAIR,"May 30, 2024",Clinic 8,,43,,Regional Health Org
,"May 23, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PACK,"July 16, 2024",Clinic 8,,27,,Regional Health Org
,"July 2, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,BOX,"August 10, 2024",Clinic 8,,9,,City Medical Center
,"August 22, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,CS.,"August 29, 2024",Clinic 8,,12,,Regional Health Org
,"August 30, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,BOX,"September 17, 2024",Clinic 8,,45,,City Medical Center
,"October 20, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PAIR,"November 16, 2024",Clinic 8,,17,,City Medical Center
,"October 23, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,CS.,"December 16, 2024",Clinic 8,,46,,City Medical Center
,"December 14, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,EA.,"January 28, 2025",Clinic 8,,9,,Regional Health Org
,"February 2, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PACK,"March 14, 2025",Clinic 8,,46,,General Hospital A
,"March 7, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,RL.,"April 8, 2025",Clinic 8,,44,,Regional Health Org
,"April 20, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,CS.,"May 24, 2025",Clinic 8,,24,,General Hospital A
,"May 10, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PACK,"May 31, 2025",Clinic 8,,19,,Regional Health Org
,"June 24, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,EA.,"July 28, 2025",Clinic 8,,6,,City Medical Center
,"August 7, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,EA.,"August 23, 2025",Clinic 8,,6,,City Medical Center
,"February 19, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"March 4, 2023",Clinic 8,,27,,General Hospital A
,"February 17, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"March 26, 2023",Clinic 8,,45,,General Hospital A
,"April 15, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"April 24, 2023",Clinic 8,,30,,City Medical Center
,"March 23, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 15, 2023",Clinic 8,,6,,Regional Health Org
,"October 18, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"November 3, 2023",Clinic 8,,29,,General Hospital A
,"October 20, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"November 30, 2023",Clinic 8,,40,,City Medical Center
,"December 27, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"January 26, 2024",Clinic 8,,15,,City Medical Center
,"February 24, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"March 3, 2024",Clinic 8,,18,,General Hospital A
,"March 15, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 12, 2024",Clinic 8,,22,,City Medical Center
,"April 4, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 4, 2024",Clinic 8,,26,,City Medical Center
,"May 8, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 16, 2024",Clinic 8,,49,,General Hospital A
,"July 21, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"August 16, 2024",Clinic 8,,5,,General Hospital A
,"September 15, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"November 3, 2024",Clinic 8,,47,,General Hospital A
,"November 15, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"November 25, 2024",Clinic 8,,39,,Regional Health Org
,"December 11, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"December 26, 2024",Clinic 8,,23,,General Hospital A
,"December 31, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"January 20, 2025",Clinic 8,,6,,General Hospital A
,"January 3, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"February 3, 2025",Clinic 8,,22,,City Medical Center
,"January 30, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"March 21, 2025",Clinic 8,,26,,General Hospital A
,"February 13, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"April 5, 2025",Clinic 8,,40,,General Hospital A
,"February 24, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 16, 2025",Clinic 8,,35,,City Medical Center
,"March 30, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"May 11, 2025",Clinic 8,,25,,City Medical Center
,"June 9, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"July 5, 2025",Clinic 8,,25,,City Medical Center
,"June 25, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"July 30, 2025",Clinic 8,,12,,General Hospital A
,"July 21, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"August 11, 2025",Clinic 8,,25,,General Hospital A
,"February 8, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"March 2, 2023",Clinic 8,,31,,City Medical Center
,"March 5, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"March 18, 2023",Clinic 8,,47,,Regional Health Org
,"February 3, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"April 2, 2023",Clinic 8,,83,,General Hospital A
,"July 21, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"August 17, 2023",Clinic 8,,77,,General Hospital A
,"August 22, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"September 7, 2023",Clinic 8,,20,,City Medical Center
,"September 27, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"October 18, 2023",Clinic 8,,64,,City Medical Center
,"December 24, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"January 22, 2024",Clinic 8,,102,,General Hospital A
,"January 2, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"February 26, 2024",Clinic 8,,29,,General Hospital A
,"February 18, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"March 10, 2024",Clinic 8,,71,,City Medical Center
,"March 11, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"April 21, 2024",Clinic 8,,27,,City Medical Center
,"June 9, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"July 18, 2024",Clinic 8,,92,,General Hospital A
,"September 25, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"November 1, 2024",Clinic 8,,46,,General Hospital A
,"February 8, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"March 4, 2025",Clinic 8,,23,,City Medical Center
,"May 1, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"May 19, 2025",Clinic 8,,115,,General Hospital A
,"April 24, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"June 6, 2025",Clinic 8,,86,,General Hospital A
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"January 10, 2023",Clinic 8,,31,,General Hospital A
,"January 4, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"January 21, 2023",Clinic 8,,9,,Regional Health Org
,"March 4, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"March 17, 2023",Clinic 8,,27,,General Hospital A
,"March 15, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 10, 2023",Clinic 8,,28,,Regional Health Org
,"May 20, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"July 3, 2023",Clinic 8,,39,,General Hospital A
,"July 14, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"August 18, 2023",Clinic 8,,12,,Regional Health Org
,"September 11, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"October 5, 2023",Clinic 8,,40,,Regional Health Org
,"October 2, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"October 19, 2023",Clinic 8,,46,,City Medical Center
,"September 21, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"November 7, 2023",Clinic 8,,38,,City Medical Center
,"October 19, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"December 5, 2023",Clinic 8,,47,,City Medical Center
,"December 15, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"December 24, 2023",Clinic 8,,43,,Regional Health Org
,"December 2, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"January 7, 2024",Clinic 8,,47,,Regional Health Org
,"January 14, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"February 13, 2024",Clinic 8,,19,,City Medical Center
,"January 29, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"March 11, 2024",Clinic 8,,45,,Regional Health Org
,"February 6, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 2, 2024",Clinic 8,,10,,Regional Health Org
,"February 16, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"April 15, 2024",Clinic 8,,40,,City Medical Center
,"March 11, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"April 27, 2024",Clinic 8,,35,,General Hospital A
,"April 9, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"May 22, 2024",Clinic 8,,6,,Regional Health Org
,"June 20, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"August 12, 2024",Clinic 8,,17,,City Medical Center
,"January 6, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"January 22, 2025",Clinic 8,,26,,Regional Health Org
,"February 26, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"March 29, 2025",Clinic 8,,37,,City Medical Center
,"February 18, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 8, 2025",Clinic 8,,16,,Regional Health Org
,"April 27, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 10, 2025",Clinic 8,,43,,City Medical Center
,"April 7, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 24, 2025",Clinic 8,,21,,Regional Health Org
,"August 7, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"September 21, 2025",Clinic 8,,32,,City Medical Center
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"January 6, 2023",Clinic 8,,49,,Regional Health Org
,"January 24, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"March 14, 2023",Clinic 8,,17,,Regional Health Org
,"April 25, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 24, 2023",Clinic 8,,40,,General Hospital A
,"May 11, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"June 7, 2023",Clinic 8,,47,,City Medical Center
,"May 25, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"June 22, 2023",Clinic 8,,19,,General Hospital A
,"June 29, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"August 26, 2023",Clinic 8,,44,,City Medical Center
,"September 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"October 8, 2023",Clinic 8,,31,,City Medical Center
,"March 31, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 26, 2024",Clinic 8,,34,,City Medical Center
,"April 27, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"June 15, 2024",Clinic 8,,34,,City Medical Center
,"August 15, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"September 14, 2024",Clinic 8,,7,,Regional Health Org
,"July 30, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"September 27, 2024",Clinic 8,,17,,City Medical Center
,"September 19, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"October 25, 2024",Clinic 8,,26,,Regional Health Org
,"September 25, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"November 11, 2024",Clinic 8,,22,,City Medical Center
,"November 10, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"November 24, 2024",Clinic 8,,41,,City Medical Center
,"October 14, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"December 10, 2024",Clinic 8,,29,,City Medical Center
,"March 18, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 15, 2025",Clinic 8,,47,,Regional Health Org
,"May 11, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"June 18, 2025",Clinic 8,,39,,City Medical Center
,"June 3, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"July 12, 2025",Clinic 8,,24,,Regional Health Org
,"June 1, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"July 19, 2025",Clinic 8,,26,,Regional Health Org
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"January 1, 2023",Clinic 8,,23,,City Medical Center
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"February 1, 2023",Clinic 8,,10,,City Medical Center
,"February 24, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"March 16, 2023",Clinic 8,,31,,City Medical Center
,"February 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"March 31, 2023",Clinic 8,,40,,General Hospital A
,"March 22, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 18, 2023",Clinic 8,,15,,Regional Health Org
,"May 4, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"May 17, 2023",Clinic 8,,10,,City Medical Center
,"May 11, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"June 6, 2023",Clinic 8,,6,,City Medical Center
,"May 31, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"July 5, 2023",Clinic 8,,16,,Regional Health Org
